sucursal,fecha_emision,dni_empleado,dni_admin,producto,categoria,familia,cantidad
catam3,,,,Tango,paletas,,0
catam3,,,,Torta,paletas,,0
catam3,,,,Vaca Aurora,paletas,,0
catam3,,,,chocolatin,paletas,,0
catam3,,,,Brownie,tartas,,0
catam3,,,,Cabsha,tartas,,0
catam3,,,,Cheescake Tarta,tartas,,0
catam3,,,,Higo,tartas,,0
catam3,,,,Imperial Tarta,tartas,,0
catam3,,,,Lemon Pie Tarta,tartas,,0
catam3,,,,Maracuya Tarta,tartas,,0
catam3,,,,Mousse,tartas,,0
catam3,,,,Rocher,tartas,,0
catam3,,,,Bomba,tortas,,0
catam3,,,,Chaja,tortas,,0
catam3,,,,Imperial,tortas,,0
catam3,,,,Maria Luisa,tortas,,0
catam3,,,,Selva Negra,tortas,,0
catam3,,,,Tropical,tortas,,0
catam3,,,,BOMBON,tortas heladas,,0
catam3,,,,CHOCOOREO,tortas heladas,,0
catam3,,,,CLASICA AM/CHOC,tortas heladas,,0
catam3,,,,CLASICA VAI/ DL,tortas heladas,,0
catam3,,,,DEL AMERICANA,tortas heladas,,0
catam3,,,,DEL DULCE D LECHE,tortas heladas,,0
catam3,,,,OMELETTE,tortas heladas,,0
catam3,,,,PRIMAVERA,tortas heladas,,0
catam3,,,,VERONA,tortas heladas,,0
catam4,,,,DIET AMERICANA,diet,,0
catam4,,,,DIET ANANA,diet,,0
catam4,,,,DIET BANANA,diet,,0
catam4,,,,DIET DULCE DE LECHE,diet,,0
catam4,,,,DIET DURAZNO,diet,,0
catam4,,,,DIET VAINILLA,diet,,0
catam4,,,,BOMBON ROCHER,helado,chocolate,0
catam4,,,,CHOCOLATE,helado,chocolate,0
catam4,,,,CHOCOLATE A LA CUBANA,helado,chocolate,0
catam4,,,,CHOCOLATE AMARGO,helado,chocolate,0
catam4,,,,CHOCOLATE BLANCO,helado,chocolate,0
catam4,,,,CHOCOLATE CON ALMENDRAS,helado,chocolate,0
catam4,,,,CHOCOLATE CON CEREZAS,helado,chocolate,0
catam4,,,,CHOCOLATE DUBAI,helado,chocolate,0
catam4,,,,CHOCOLATE SUIZO,helado,chocolate,0
catam4,,,,KINDOVO,helado,chocolate,0
